DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
1309752000000,12479.88,12506.22,12446.05,12505.99,128662688
1,12595.37,12613.16,12478.14,12480.86,183983976
2,12690.96,12708.37,12588.33,12592.23,160554993
3,12763.31,12776.14,12674.54,12689.9,148756838
4,12810.54,12832.83,12751.13,12763.46,378619528
7,12807.36,12876,12784.62,12810.16,150956025
8,12807.51,12840.66,12749.99,12806.38,191511468
9,12723.58,12806.68,12673.02,12806.29,193720824
10,12584.17,12724.56,12521.28,12723.65,176951763
11,12638.74,12759.23,12579.93,12580.76,168324082
14,12684.68,12722.07,12620.2,12637.83,133943466
15,12760.36,12781.06,12681.65,12685.13,155995373
16,12630.03,12748.21,12577.21,12745.87,200680256
17,12695.92,12718.58,12537.17,12629.96,216505496
18,12595.75,12714.5,12543.19,12695.65,169938787
21,12548.37,12642.9,12530.81,12594.77,192313984
22,12479.58,12541.33,12378.84,12541.33,192831965
23,12560.18,12571.15,12443.1,12471.78,175117664
24,12605.32,12633.59,12533.46,12561.46,158467750
25,12512.04,12604.83,12485.86,12604.72,174982253
28,12381.26,12511.36,12331.77,12511.36,150719905
29,12356.21,12422.55,12350.04,12381.57,145923558
30,12394.66,12440.03,12309.52,12355.45,145745148
31,12402.76,12441.58,12317.92,12391.63,149070049
32,12441.58,12441.58,12441.58,12441.58,0
36,12569.79,12574.29,12443.4,12443.4,208286410
37,12290.14,12569.49,12282.42,12569.41,183018116
38,12248.55,12306.71,12190.54,12289.61,156373002
39,12151.26,12247.87,12104.03,12247.8,157743839
42,12089.96,12151.49,12070.66,12151.19,166603416
43,12070.81,12178.89,12066.61,12090.18,162606279
44,12048.94,12098.36,12024.26,12066.27,156865518
45,12124.36,12183.12,12049.09,12049.47,149696515
46,11951.91,12124.85,11937.42,12124.17,178307604
49,11952.97,12011.66,11917.78,11945.33,153367891
50,12076.11,12120.8,11951.38,11951.38,159618956
51,11897.27,12075.2,11862.53,12075.12,182496537
52,11961.52,11990.02,11875.77,11896.13,189502945
53,12004.36,12072.89,11962.51,11962.66,342005996
56,12080.38,12099.87,11971.29,12004.28,127250559
57,12190.01,12217.33,12081.18,12081.33,147566020
58,12109.67,12207.99,12105.85,12189.71,125333557
59,12050,12108.73,11874.94,12108.35,206759011
60,11934.58,12057.19,11925.42,12049.24,279657474
63,12043.56,12098.81,11934.05,11934.66,177920112
64,12188.69,12190.43,12042.28,12042.28,135050428
65,12261.42,12284.39,12175.86,12187.63,158722071
66,12414.34,12427.09,12262.1,12262.25,179983021
67,12582.77,12596.13,12404.08,12412.07,141867318
